customerID,tenure,Contract,MonthlyCharges,InternetService,OnlineSecurity,TechSupport,ChurnProbability
4439-YRNVD,10,Month-to-month,36.25,DSL,No,Yes,0.9185553307870942
2812-REYAT,49,One year,20.05,No,No internet service,No internet service,0.9184686862654391
2740-JFBOK,10,Month-to-month,24.0,No,No internet service,No internet service,0.9178733191208047
2722-JMONI,1,Month-to-month,49.55,DSL,Yes,No,0.9155898937852863
0380-ZCSBI,10,Month-to-month,20.0,No,No internet service,No internet service,0.9147516745784948
5382-TEMLV,45,Month-to-month,50.9,DSL,Yes,No,0.9142085199870078
7471-WNSUF,60,One year,24.15,No,No internet service,No internet service,0.9131965815198235
6732-FZUGP,47,One year,94.9,Fiber optic,Yes,No,0.9128772285769519
8738-JOKAR,42,One year,67.7,DSL,Yes,Yes,0.9119501135084797
0206-OYVOC,46,Two year,19.25,No,No internet service,No internet service,0.911111894301688
3026-ATZYV,37,One year,75.1,DSL,Yes,No,0.9100868282657422
8902-ZEOVF,47,One year,20.05,No,No internet service,No internet service,0.9100868282657422
1038-ZAGBI,12,One year,19.8,No,No internet service,No internet service,0.9100749786771177
2546-KZAAT,52,One year,75.4,DSL,Yes,No,0.9100749786771177
7139-JZFVG,60,Two year,60.5,DSL,Yes,No,0.9075780242333421
2834-JKOOW,15,One year,45.9,DSL,Yes,Yes,0.9061212453972455
9576-SYUHJ,37,Month-to-month,91.15,Fiber optic,Yes,No,0.9058538504402303
4510-PYUSH,38,Month-to-month,57.15,DSL,Yes,No,0.9056411445713496
4716-HHKQH,20,Month-to-month,107.05,Fiber optic,No,Yes,0.9056411445713496
1591-NFNLQ,51,Month-to-month,80.0,Fiber optic,No,No,0.9056411445713496
0750-EBAIU,52,One year,91.25,Fiber optic,Yes,No,0.9054210638022872
2697-NQBPF,34,Month-to-month,105.35,Fiber optic,No,Yes,0.9054210638022872
2683-JXWQQ,61,Month-to-month,33.6,DSL,Yes,No,0.904790131191571
4530-NDRKU,42,One year,19.05,No,No internet service,No internet service,0.9045703386533073
1625-JAIIY,68,One year,83.0,Fiber optic,No,No,0.9035961752605415
7248-VZQLC,47,Month-to-month,85.2,Fiber optic,No,No,0.9035067384096095
6985-HAYWX,26,Month-to-month,79.3,Fiber optic,No,No,0.9032661608583846
0042-RLHYP,69,Two year,19.7,No,No internet service,No internet service,0.9029802251174374
8165-ZJRNM,72,Two year,23.75,No,No internet service,No internet service,0.9023050489337112
6261-LHRTG,26,Month-to-month,54.75,DSL,No,No,0.9016650790078653
4132-KALRO,4,Month-to-month,100.85,Fiber optic,No,Yes,0.9014810876864138
9168-INPSZ,44,Month-to-month,104.15,Fiber optic,No,Yes,0.9014810876864138
9074-KGVOX,50,Month-to-month,39.45,DSL,Yes,No,0.9011001147971419
0197-PNKNK,69,One year,84.45,Fiber optic,Yes,No,0.9006384075763024
7359-SSBJK,64,Two year,70.2,DSL,Yes,Yes,0.9000488359603493
6266-QHOJZ,65,One year,89.85,Fiber optic,Yes,Yes,0.9000189855381087
